source_reference,year,total_coffee_produced,total_raw_processed,total_employees,total_bags_exported,total_bags_handled,total_bags_shipped,total_bags_received,direct_export,exporting_clients,transferred_to_roastery,ingestion_timestamp,content_hash,bags_commercialized,orders_shipped,clients_served,number_of_employees,raw_coffee_processed,coffee_produced,bags_received,bags_acquired,bags_physical_market,average_price_physical_market,bags_futures_market,average_price_futures_market,bags_shipped,bags_direct_export,bags_exporting_clients,bags_domestic_market,bags_transferred_to_roastery,month
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2026,15163534.5000,305462.0000,209.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,980819.0000,3834356.0000,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,980819.0000,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,6078227.0000,6075817.0000,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,4815175.0000,430366.0000,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,304504.0000,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,2026-05-23T22:28:33.059000,08348d37d7e41642380b60ef7ab33b709cee1e1b863ebeb90d508f58c7cf6e72,1400000.0000,990.0000,60.0000,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,1400000.0000,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,990.0000,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,60.0000,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,2026-05-23T22:28:32.933000,be1034080c8a10efb4875ce40bf243a11a8792f39ffe4e6eafaa3d2f8b0a2311,,,,209.0000,305462.0000,15163534.5000,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,209.0000,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,305462.0000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,15163534.5000,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,2026-05-23T22:28:32.968000,c7643859f1217128d492be98359fb6ee4224b6e2ea4eba8cda4414e9a38369e4,,,,,,,6075817.0000,4762434.0000,3834740.0000,2221.3600,927694.0000,2043.6200,6078227.0000,4815175.0000,430366.0000,832686.0000,304504.0000,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,6075817.0000,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,4762434.0000,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,3834740.0000,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,2026-05-23T22:28:32.984000,7dd5a3c39f426eb328d9e3b30f8528268eee81af518861de5e190f7117b6389e,,,,,,,,,,,,,810170.0000,,,,,September 2025
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,810170.0000,,,,,
